time,ax,ay,az,wx,wy,wz
0.005,0.04,-0.04,0.34,0,0.01,0
0.006,0.04,-0.04,0.34,0.01,0.02,0
0.006,0.04,-0.04,0.34,0.01,0.02,0
0.006,0.04,-0.04,0.34,0.01,0.02,0
0.006,0.04,-0.04,0.34,0.01,0.02,0
0.006,0.04,-0.04,0.34,0.01,0.02,0
0.007,0.04,-0.04,0.34,0.01,0.02,0
0.007,0.04,-0.04,0.34,0.01,0.02,0
0.007,0.04,-0.05,0.2,0.01,0.02,0
0.007,0.04,-0.05,0.2,0.01,0.02,0
0.007,0.04,-0.05,0.2,0.01,0.02,0
0.009,0.04,-0.05,0.2,0.01,0.02,0
0.014,0.04,-0.05,0.2,0.01,0.02,0
0.015,0.02,-0.03,0.17,0.01,0.02,0
0.015,0.02,-0.03,0.17,0.01,0.02,0
0.015,0.02,-0.03,0.17,0.01,0.01,0
0.018,0.02,-0.03,0.17,0.01,0.01,0
0.019,0.02,-0.03,0.17,0,0.01,0
0.023,0.02,-0.03,0.17,0.01,0.01,0
0.023,0.03,0.03,0.16,0.01,0.01,0
0.023,0.03,0.03,0.16,0,0,0
0.025,0.03,0.03,0.16,0,0,0
0.027,0.03,0.03,0.16,0,0,0
0.029,0.03,0.03,0.16,0,0,0
0.052,0.03,0.03,0.16,0,0,0
0.053,0.03,0.03,0.16,-0.01,-0.01,0
0.053,0.03,0.03,0.16,-0.01,-0.01,0
0.053,0.03,0.03,0.16,-0.01,-0.01,0
0.053,0.03,0.03,0.16,0,0,0
0.054,0.03,0.03,0.16,0,-0.01,0
0.054,0.03,0.03,0.16,0,-0.01,0
0.054,0.03,0.03,0.16,0,0,0
0.054,-0.01,0.07,0.21,0,0,0
0.054,-0.01,0.07,0.21,0,0,0
0.054,-0.01,0.07,0.21,-0.01,-0.01,0
0.055,-0.01,0.07,0.21,-0.01,-0.01,0
0.055,-0.01,0.07,0.21,-0.01,0,0
0.055,0.01,0.07,0.21,-0.01,0,0
0.055,0.01,0.07,0.21,0,0,0
0.055,0.01,0.07,0.21,-0.01,0,0
0.057,0.01,0.07,0.21,-0.01,-0.01,0
0.059,0.01,0.07,0.21,0,0,0
0.062,0.01,0.07,0.21,-0.01,0,0
0.063,0.01,0.04,0.22,-0.01,0,0
0.063,0.01,0.04,0.22,-0.01,0,0
0.066,0.01,0.04,0.22,-0.01,0,0
0.067,0.01,0.04,0.22,0,0,0
0.07,0.01,0.04,0.22,-0.01,0,0
0.085,0.01,0.04,0.22,-0.01,0,0
0.085,0.01,0.04,0.22,0,0,0
0.086,0.01,0.04,0.22,0,0,0
0.086,0.01,0.04,0.22,0,0,0
0.086,0.01,0.04,0.22,0,0,0
0.086,0.01,0.04,0.22,0,0,0
0.086,0.01,0.04,0.22,0,0,0
0.087,0.02,-0.03,0.18,0,0,0
0.087,0.02,-0.03,0.18,0,0,0
0.087,0.02,-0.03,0.18,-0.01,0,0
0.087,0.02,-0.03,0.18,0,0,0
0.089,0.02,-0.03,0.18,0,0,0
0.093,0.02,-0.03,0.18,0,0,0
0.093,0.02,-0.05,0.19,0,0,0
0.093,0.02,-0.05,0.19,0,0,0
0.095,0.02,-0.05,0.19,0,0,0
0.099,0.02,-0.05,0.19,0,0,0
0.099,0.02,-0.05,0.19,0,0,0
0.103,0.02,-0.05,0.19,0,0,0
0.103,0.03,-0.07,0.18,0,0,0
0.103,0.03,-0.07,0.18,0,0,0
0.106,0.03,-0.07,0.18,0,0,0
0.107,0.03,-0.07,0.18,0,0,0
0.11,0.03,-0.07,0.18,0,0,0
