time,ax,ay,az,wx,wy,wz
0.005,-0.02,-0.06,0.23,-0.02,-0.04,0
0.005,-0.02,-0.06,0.23,-0.01,-0.02,0
0.005,-0.02,-0.06,0.23,-0.01,-0.02,0
0.006,-0.02,-0.06,0.23,-0.01,-0.02,0
0.006,-0.02,-0.06,0.23,-0.01,-0.02,0
0.006,-0.02,-0.06,0.23,-0.01,-0.02,0
0.006,-0.02,-0.06,0.23,-0.01,-0.01,0
0.006,0.04,0.01,0.2,-0.01,-0.01,0
0.007,0.03,0.01,0.2,-0.01,-0.01,0
0.007,0.03,0.01,0.2,0,0,0
0.008,0.03,0.01,0.2,0,0,0
0.01,0.03,0.01,0.2,0,0.01,0
0.015,0.03,0.01,0.2,0,0.01,0
0.015,0.04,0.02,0.29,0,0.01,0
0.015,0.04,0.02,0.29,0.01,0.02,0
0.016,0.04,0.02,0.29,0.01,0.02,0
0.018,0.04,0.02,0.29,0.01,0.03,0
0.02,0.04,0.02,0.29,0.01,0.03,0
0.023,0.04,0.02,0.29,0.01,0.03,0
0.023,0.03,0,0.24,0.01,0.03,0
0.024,0.03,0,0.24,0.02,0.03,0
0.026,0.03,0,0.24,0.01,0.03,0
0.028,0.03,0,0.24,0.01,0.03,0
0.03,0.03,0,0.24,0.01,0.03,0
0.045,0.03,0,0.24,0.01,0.03,0
0.045,0.03,0,0.24,0.01,0.02,0
0.045,0.03,0,0.24,0.01,0.02,0
0.045,0.03,0,0.24,0.01,0.02,0
0.046,0.03,0,0.24,0.01,0.02,0
0.046,0.03,0,0.24,0.01,0.02,0
0.046,0.03,0,0.24,0.01,0.02,0
0.046,0.01,-0.02,0.17,0.01,0.02,0
0.046,0.01,-0.03,0.17,0.01,0.02,0
0.047,0.01,-0.03,0.17,0.01,0.02,0
0.047,0.01,-0.03,0.17,0.01,0.01,0
0.048,0.01,-0.03,0.17,0.01,0.01,0
0.05,0.01,-0.03,0.17,0,0.01,0
0.053,0.01,-0.03,0.17,0,0,0
0.053,-0.01,-0.03,0.24,0,0,0
0.054,-0.01,-0.03,0.24,0,0,0
0.056,-0.01,-0.03,0.24,0,0,0
0.058,-0.01,-0.03,0.24,0,-0.01,0
0.06,-0.01,-0.03,0.24,-0.01,-0.01,0
0.063,-0.01,-0.03,0.24,0,-0.01,0
0.063,0,-0.04,0.2,0,-0.01,0
0.064,0,-0.04,0.2,-0.01,-0.02,0
0.067,0,-0.04,0.2,-0.01,-0.02,0
0.068,0,-0.04,0.2,-0.01,-0.02,0
0.07,0,-0.04,0.2,-0.01,-0.02,0
0.086,0,-0.04,0.2,-0.01,-0.02,0
0.087,0,-0.04,0.2,-0.01,-0.02,0
0.087,0,-0.04,0.2,-0.01,-0.01,0
0.088,0,-0.04,0.2,0,-0.02,0
0.088,0,-0.04,0.2,0,-0.02,0
0.088,0,-0.04,0.2,0,-0.02,0
0.088,0,-0.04,0.2,0,-0.02,0
0.09,0.04,0.01,0.2,0,-0.02,0
0.09,0.04,0.01,0.2,0,-0.02,0
0.09,0.04,0.01,0.2,0,-0.02,0
0.091,0.04,0.01,0.2,0,-0.01,0
0.091,0.04,0.01,0.2,-0.01,-0.01,0
0.091,0.04,0.01,0.2,0,-0.01,0
0.095,0.04,0.01,0.2,0,-0.01,0
0.095,0.04,0.01,0.2,0,-0.01,0
0.095,0.04,0.02,0.27,0,-0.01,0
0.097,0.04,0.02,0.27,0,0,0
0.101,0.04,0.02,0.27,0,0,0
0.101,0.04,0.02,0.27,0,0,0
0.104,0.04,0.02,0.27,0,0,0
0.105,0.04,0.02,0.27,0,0.01,0
0.105,0.03,0.03,0.26,0,0.01,0
0.106,0.03,0.03,0.26,0,0.01,0
0.108,0.03,0.03,0.26,0,0.01,0
0.11,0.03,0.03,0.26,0,0.01,0
0.125,0.03,0.03,0.26,0,0.01,0
0.126,0.03,0.03,0.26,0,0.01,0
0.126,0.03,0.03,0.26,0,0.01,0
0.126,0.03,0.03,0.26,0,0.01,0
0.126,0.03,0.03,0.26,0,0.01,0
0.126,0.03,0.03,0.26,0,0.01,0
0.127,0.03,0.03,0.26,0.01,0.01,0
0.127,0,-0.01,0.21,0.01,0.01,0
0.127,0,-0.01,0.21,0.01,0.01,0
0.127,0,-0.01,0.21,0,0.01,0
0.128,0,-0.01,0.21,0,0.01,0
0.13,0,-0.01,0.21,0,0.01,0
0.133,0,-0.01,0.21,0,0.01,0
0.134,0,-0.02,0.24,0,0.01,0
0.134,0,-0.02,0.24,0,0,0
0.136,0,-0.02,0.24,0.01,0.01,0
0.138,0,-0.02,0.24,0,0,0
0.14,0,-0.02,0.24,0,0,0
0.143,0,-0.02,0.24,0,0,0
0.143,-0.02,-0.06,0.23,0,0,0
0.144,-0.02,-0.06,0.23,0,0,0
0.146,-0.02,-0.06,0.23,0,0,0
0.148,-0.02,-0.06,0.23,0,0,0
0.15,-0.02,-0.06,0.23,0,-0.01,0
0.171,-0.02,-0.06,0.23,0,0,0
0.171,-0.02,-0.06,0.23,0,-0.01,0
0.171,-0.02,-0.06,0.23,0,-0.01,0
0.171,-0.02,-0.06,0.23,0,-0.01,0
0.172,-0.02,-0.06,0.23,0,-0.01,0
0.172,-0.02,-0.06,0.23,0,-0.01,0
0.172,-0.02,-0.06,0.23,0,-0.01,0
0.172,-0.01,-0.05,0.22,0,-0.01,0
0.172,-0.01,-0.05,0.22,0,-0.01,0
0.173,-0.01,-0.05,0.22,0,-0.01,0
0.173,-0.01,-0.05,0.22,0,-0.01,0
0.173,-0.01,-0.05,0.22,0,-0.01,0
0.173,-0.01,-0.05,0.22,0,0,0
0.174,-0.01,-0.05,0.22,0,0,0
0.174,-0.01,-0.02,0.24,0,0,0
0.174,-0.01,-0.02,0.24,0,0,0
0.176,-0.01,-0.02,0.24,0,0,0
0.178,-0.01,-0.02,0.24,0,0,0
0.18,-0.01,-0.02,0.24,0,0,0
0.184,-0.01,-0.02,0.24,0,0,0
0.184,0.02,0.03,0.24,0,0,0
0.184,0.02,0.03,0.24,0,0,0
0.186,0.02,0.03,0.24,0,0,0
0.188,0.02,0.03,0.24,0,0,0
0.19,0.02,0.03,0.24,0,0,0
0.205,0.02,0.03,0.24,0,0,0
0.206,0.02,0.03,0.24,0,0.01,0
0.206,0.02,0.03,0.24,0,0,0
0.206,0.02,0.03,0.24,0,0.01,0
0.206,0.02,0.03,0.24,0,0.01,0
0.207,0.02,0.03,0.24,0,0.01,0
0.207,0.02,0.03,0.24,0,0.01,0
0.207,0.02,0.02,0.23,0,0.01,0
0.207,0.02,0.02,0.23,0,0.01,0
0.207,0.02,0.02,0.23,0,0.01,0
0.207,0.02,0.02,0.23,0,0,0
0.208,0.02,0.02,0.23,0,0.01,0
0.21,0.02,0.02,0.23,0,0,0
0.214,0.02,0.02,0.23,0,0,0
0.214,0.02,0,0.22,0,0,0
0.214,0.02,0,0.22,0,0,0
0.216,0.02,0,0.22,0,0,0
0.218,0.02,0,0.22,0,0,0
0.22,0.02,0,0.22,0,0,0
0.223,0.02,0,0.22,0,0,0
0.223,0,-0.04,0.24,0,0,0
0.224,0,-0.04,0.24,0,0,0
0.226,0,-0.04,0.24,0,0,0
0.228,0,-0.04,0.24,0,0,0
0.23,0,-0.04,0.24,0,0,0
0.245,0,-0.04,0.24,0,0,0
0.245,0,-0.04,0.24,0,0,0
0.246,0,-0.04,0.24,0,0,0
0.246,0,-0.04,0.24,0,0,0
0.246,0,-0.04,0.24,0,0,0
0.246,0,-0.04,0.24,0,-0.01,0
