time,ax,ay,az,wx,wy,wz
0.002,0.02,-0.03,0.17,-0.01,-0.03,0
0.002,0.02,-0.03,0.17,-0.01,-0.02,0
0.002,0.02,-0.03,0.17,-0.01,-0.02,0
0.002,0.02,-0.03,0.17,-0.01,-0.02,0
0.003,0.02,-0.03,0.17,-0.01,-0.01,0
0.003,0.02,-0.03,0.17,-0.01,-0.01,0
0.003,0.02,-0.03,0.17,-0.01,-0.01,0
0.003,0.03,-0.04,0.24,-0.01,-0.01,0
0.003,0.03,-0.04,0.24,-0.01,-0.01,0
0.003,0.03,-0.04,0.24,-0.01,-0.01,0
0.004,0.03,-0.04,0.24,0,-0.01,0
0.004,0.03,-0.04,0.24,0,0,0
0.006,0.03,-0.04,0.24,0,0,0
0.011,0.03,-0.04,0.24,0,0,0
0.011,0.02,-0.02,0.25,0,0,0
0.011,0.02,-0.02,0.25,0.01,0.01,0
0.012,0.02,-0.02,0.25,0.01,0.01,0
0.014,0.02,-0.02,0.25,0.01,0.01,0
0.016,0.02,-0.02,0.25,0.01,0.01,0
0.019,0.02,-0.02,0.25,0.01,0.01,0
0.019,0.02,0,0.24,0.01,0.01,0
0.02,0.02,0,0.24,0.01,0.02,0
0.022,0.02,0,0.24,0.01,0.02,0
0.025,0.02,0,0.24,0.01,0.02,0
0.026,0.02,0,0.24,0.01,0.02,0
0.042,0.02,0,0.24,0.01,0.02,0
0.043,0.02,0,0.24,0.01,0.01,0
0.043,0.02,0,0.24,0.01,0.01,0
0.043,0.02,0,0.24,0.01,0.01,0
0.043,0.02,0,0.24,0.01,0.01,0
0.043,0.02,0,0.24,0.01,0.01,0
0.044,0.02,0,0.24,0.01,0.01,0
0.044,0.02,0,0.24,0,0.01,0
0.044,0,0.02,0.19,0,0.01,0
0.044,0.01,0.02,0.18,0,0.01,0
0.044,0.01,0.02,0.18,0,0.01,0
0.046,0.01,0.02,0.18,0,0.01,0
0.051,0.01,0.02,0.18,0,0.01,0
0.051,0.01,0.02,0.18,0,0,0
0.051,0,0.03,0.19,0,0,0
0.052,0,0.03,0.19,0,0,0
0.054,0,0.03,0.19,0,0,0
0.056,0,0.03,0.19,0,-0.01,0
0.059,0,0.03,0.19,0,0,0
0.059,0.02,0,0.23,0,0,0
0.06,0.02,0,0.23,0,-0.01,0
0.063,0.02,0,0.23,-0.01,-0.01,0
0.064,0.02,0,0.23,0,-0.01,0
0.066,0.02,0,0.23,-0.01,-0.01,0
0.081,0.02,0,0.23,-0.01,-0.01,0
0.082,0.02,0,0.23,-0.01,-0.01,0
0.082,0.02,0,0.23,-0.01,-0.01,0
0.082,0.02,0,0.23,-0.01,-0.01,0
0.082,0.02,0,0.23,-0.01,-0.01,0
0.082,0.02,0,0.23,-0.01,-0.01,0
0.083,0.02,0,0.23,-0.01,-0.01,0
0.083,0.02,-0.02,0.19,-0.01,-0.01,0
0.083,0.02,-0.02,0.19,-0.01,-0.01,0
0.083,0.02,-0.02,0.19,-0.01,-0.01,0
0.084,0.02,-0.02,0.19,-0.01,-0.01,0
0.086,0.02,-0.02,0.19,0,-0.01,0
0.089,0.02,-0.02,0.19,0,-0.01,0
0.09,0,-0.03,0.21,0,-0.01,0
0.09,0,-0.03,0.21,0,-0.01,0
0.099,0,-0.03,0.21,0,0,0
0.099,0,-0.03,0.21,0,0,0
0.099,0,-0.03,0.21,0,0,0
0.099,0,-0.03,0.21,0,0,0
0.1,0.03,-0.04,0.22,0,0,0
0.1,0.03,-0.04,0.22,0,0,0
0.102,0.03,-0.04,0.22,0,0,0
0.104,0.03,-0.04,0.22,0,0,0
0.106,0.03,-0.04,0.22,0,0,0
0.123,0.03,-0.04,0.22,0,0.01,0
0.123,0.03,-0.04,0.22,0.01,0.01,0
0.123,0.03,-0.04,0.22,0.01,0.01,0
0.124,0.03,-0.04,0.22,0.01,0.01,0
0.124,0.03,-0.04,0.22,0.01,0.01,0
0.124,0.03,-0.04,0.22,0,0.01,0
0.124,0.03,-0.04,0.22,0,0.01,0
0.124,0.03,-0.04,0.22,0.01,0.01,0
0.125,-0.01,-0.01,0.22,0.01,0.01,0
0.125,-0.01,-0.01,0.22,0.01,0.01,0
0.125,-0.01,-0.01,0.22,0,0.01,0
0.127,-0.01,-0.01,0.22,0,0.01,0
0.129,-0.01,-0.01,0.22,0,0.01,0
0.129,0.01,0,0.23,0,0.01,0
0.13,0.01,0,0.23,0,0.01,0
0.132,0.01,0,0.23,0.01,0.01,0
0.134,0.01,0,0.23,0,0.01,0
0.136,0.01,0,0.23,0,0.01,0
0.139,0.01,0,0.23,0,0,0
0.139,0.01,0,0.23,0,0,0
0.14,0.01,0,0.23,0,0,0
0.142,0.01,0,0.23,0,0,0
0.144,0.01,0,0.23,0,0,0
0.146,0.01,0,0.23,0,0,0
0.161,0.01,0,0.23,0,0,0
0.162,0.01,0,0.23,0,0,0
0.162,0.01,0,0.23,0,0,0
0.162,0.01,0,0.23,0,0,0
0.162,0.01,0,0.23,0,0,0
0.162,0.01,0,0.23,0,0,0
0.163,0.01,0,0.23,0,0,0
0.163,0.03,0.01,0.19,0,0,0
0.163,0.03,0.01,0.19,0,0,0
0.163,0.03,0.01,0.19,0,0,0
0.163,0.03,0.01,0.19,0,-0.01,0
0.164,0.03,0.01,0.19,0,0,0
0.166,0.03,0.01,0.19,0,0,0
0.169,0.03,0.01,0.19,0,-0.01,0
0.17,0.03,-0.01,0.22,0,-0.01,0
0.17,0.03,-0.01,0.22,0,-0.01,0
0.172,0.03,-0.01,0.22,0,-0.01,0
0.182,0.03,-0.01,0.22,-0.01,-0.01,0
0.183,0.03,-0.01,0.22,0,0,0
0.183,0.03,-0.01,0.22,0,-0.01,0
0.183,0.02,-0.02,0.22,0,-0.01,0
0.184,0.02,-0.02,0.22,0,-0.01,0
0.184,0.02,-0.02,0.22,0,-0.01,0
