time,ax,ay,az,wx,wy,wz
0.002,-0.01,-0.01,0.39,0.01,0.03,0
0.013,-0.01,-0.01,0.39,0.02,0.03,0
0.014,-0.01,-0.01,0.39,0.01,0.04,0
0.014,-0.01,-0.01,0.39,0.02,0.04,0
0.014,-0.01,-0.01,0.39,0.02,0.03,0
0.014,-0.01,-0.01,0.39,0.02,0.03,0
0.015,-0.01,-0.01,0.39,0.02,0.03,0
0.015,-0.01,-0.01,0.39,0.02,0.03,0
0.015,-0.01,-0.01,0.39,0.02,0.03,0
0.015,-0.01,0.02,0.25,0.02,0.03,0
0.015,-0.01,0.02,0.25,0.02,0.03,0
0.015,0,0.02,0.25,0.02,0.03,0
0.016,0,0.02,0.25,0.02,0.03,0
0.019,0,0.02,0.25,0.01,0.03,0
0.021,0,0.02,0.25,0.01,0.03,0
0.021,-0.01,0.01,0.18,0.01,0.03,0
0.021,-0.01,0.01,0.18,0.01,0.02,0
0.023,-0.01,0.01,0.18,0.01,0.02,0
0.025,-0.01,0.01,0.18,0.01,0.01,0
0.027,-0.01,0.01,0.18,0,0.01,0
0.031,-0.01,0.01,0.18,0,0,0
0.031,0,-0.01,0.12,0,0,0
0.031,0,-0.01,0.12,0,0,0
0.033,0,-0.01,0.12,0,0,0
0.035,0,-0.01,0.12,-0.01,-0.01,0
0.037,0,-0.01,0.12,-0.01,-0.01,0
0.052,0,-0.01,0.12,-0.01,-0.02,0
0.052,0,-0.01,0.12,-0.01,-0.02,0
0.053,0,-0.01,0.12,-0.01,-0.02,0
0.053,0,-0.01,0.12,-0.01,-0.02,0
0.053,0,-0.01,0.12,-0.01,-0.02,0
0.053,0,-0.01,0.12,-0.01,-0.02,0
0.053,0,-0.01,0.12,-0.01,-0.02,0
0.053,0.01,-0.01,0.17,-0.01,-0.02,0
0.054,0,-0.01,0.17,-0.01,-0.02,0
0.054,0,-0.01,0.17,-0.01,-0.02,0
0.055,0,-0.01,0.17,-0.01,-0.02,0
0.058,0,-0.01,0.17,-0.01,-0.02,0
0.061,0,-0.01,0.17,-0.01,-0.02,0
0.061,0,-0.01,0.17,-0.01,-0.02,0
0.061,0,-0.02,0.2,-0.01,-0.02,0
0.063,0,-0.02,0.2,-0.01,-0.01,0
0.066,0,-0.02,0.2,0,-0.01,0
0.068,0,-0.02,0.2,0,-0.01,0
0.071,0,-0.02,0.2,0,0,0
0.071,0,-0.01,0.22,0,0,0
0.071,0,-0.01,0.22,0,0,0
0.073,0,-0.01,0.22,0,0.01,0
0.075,0,-0.01,0.22,0,0.01,0
0.077,0,-0.01,0.22,0,0.01,0
0.093,0,-0.01,0.22,0,0.01,0
0.094,0,-0.01,0.22,0.01,0.02,0
0.094,0,-0.01,0.22,0.01,0.02,0
0.094,0,-0.01,0.22,0.01,0.02,0
0.094,0,-0.01,0.22,0.01,0.01,0
0.095,0,-0.01,0.22,0.01,0.02,0
0.095,0,-0.01,0.22,0.01,0.02,0
0.095,-0.03,0.01,0.24,0.01,0.02,0
0.095,-0.03,0.01,0.24,0.01,0.02,0
0.095,-0.03,0.01,0.24,0.01,0.02,0
0.095,-0.03,0.01,0.24,0.01,0.02,0
0.096,-0.03,0.01,0.24,0,0.01,0
0.103,-0.03,0.01,0.24,0,0.01,0
0.103,-0.03,0.01,0.24,0.01,0.01,0
0.104,-0.03,0,0.25,0.01,0.01,0
0.104,-0.03,0,0.25,0.01,0.01,0
0.104,-0.03,0,0.25,0.01,0.01,0
0.105,-0.03,0,0.25,0,0.01,0
0.107,-0.03,0,0.25,0,0,0
0.11,-0.03,0,0.25,0,0,0
0.11,-0.04,-0.02,0.24,0,0,0
0.112,-0.04,-0.02,0.24,0,0,0
0.116,-0.04,-0.02,0.24,0,0,0
0.118,-0.04,-0.02,0.24,0,0,0
0.118,-0.04,-0.02,0.24,0,0,0
0.133,-0.04,-0.02,0.24,-0.01,-0.01,0
0.134,-0.04,-0.02,0.24,-0.01,-0.01,0
0.134,-0.04,-0.02,0.24,-0.01,-0.01,0
0.134,-0.04,-0.02,0.24,0,-0.01,0
0.134,-0.04,-0.02,0.24,0,-0.01,0
0.134,-0.04,-0.02,0.24,0,-0.01,0
0.135,-0.04,-0.02,0.24,0,-0.01,0
0.135,-0.03,-0.02,0.22,0,-0.01,0
0.135,-0.03,-0.02,0.22,0,-0.01,0
0.135,-0.03,-0.01,0.22,0,-0.01,0
0.135,-0.03,-0.01,0.22,0,-0.01,0
0.135,-0.03,-0.01,0.22,0,-0.01,0
0.137,-0.03,-0.01,0.22,0,-0.01,0
0.141,-0.03,-0.01,0.22,0,-0.01,0
