time,ax,ay,az,wx,wy,wz
0.009,0,-0.01,0.19,-0.02,-0.04,0
0.009,0,-0.01,0.19,0,-0.02,0
0.009,0,-0.01,0.19,0,-0.01,0
0.01,0,-0.01,0.19,0,-0.01,0
0.01,0,-0.01,0.19,0,-0.01,0
0.01,0,-0.01,0.19,0,0,0
0.01,0,-0.01,0.19,0,0,0
0.01,0.02,0,0.22,0,0,0
0.01,0.02,0,0.22,0,0,0
0.01,0.02,0,0.22,0,0,0
0.013,0.02,0,0.22,0,0,0
0.013,0.02,0,0.22,0.01,0.01,0
0.017,0.02,0,0.22,0.01,0.01,0
0.017,0.01,0,0.26,0.01,0.01,0
0.017,0.01,0,0.26,0.01,0.02,0
0.02,0.01,0,0.26,0.01,0.02,0
0.022,0.01,0,0.26,0.01,0.02,0
0.024,0.01,0,0.26,0.01,0.03,0
0.036,0.01,0,0.26,0.02,0.03,0
0.036,0,-0.02,0.18,0.02,0.03,0
0.036,0,-0.02,0.18,0.01,0.03,0
0.037,0,-0.02,0.18,0.01,0.03,0
0.037,0,-0.02,0.18,0.01,0.03,0
0.037,0,-0.02,0.18,0.02,0.03,0
0.05,0,-0.02,0.18,0.02,0.02,0
0.05,0,-0.02,0.18,0.01,0.01,0
0.05,0,-0.02,0.18,0.01,0.01,0
0.051,0,-0.02,0.18,0.01,0.01,0
0.051,0,-0.02,0.18,0.01,0.01,0
0.051,0,-0.02,0.18,0.01,0.01,0
0.051,0,-0.02,0.18,0,0.01,0
0.051,0,-0.02,0.18,0,0.01,0
0.052,0.04,0.01,0.02,0,0.01,0
0.052,0.04,0,0.02,0,0.01,0
0.052,0.04,0,0.02,0,0.01,0
0.053,0.04,0,0.02,0.01,0.01,0
0.053,0.04,0,0.02,0.01,0,0
0.057,0.04,0,0.02,0,0,0
0.057,0.03,0.01,0.06,0,0,0
0.057,0.03,0.01,0.06,0,0,0
0.059,0.03,0.01,0.06,-0.01,-0.01,0
0.062,0.03,0.01,0.06,0,-0.01,0
0.063,0.03,0.01,0.06,0,-0.01,0
0.067,0.03,0.01,0.06,0,-0.02,0
0.067,0.03,-0.01,0.12,0,-0.02,0
0.067,0.03,-0.01,0.12,-0.01,-0.01,0
0.07,0.03,-0.01,0.12,-0.01,-0.01,0
0.071,0.03,-0.01,0.12,-0.01,-0.02,0
0.073,0.03,-0.01,0.12,-0.01,-0.02,0
0.088,0.03,-0.01,0.12,-0.01,-0.02,0
0.089,0.03,-0.01,0.12,0,-0.02,0
0.089,0.03,-0.01,0.12,-0.01,-0.02,0
0.089,0.03,-0.01,0.12,-0.01,-0.02,0
0.089,0.03,-0.01,0.12,-0.01,-0.02,0
0.09,0.03,-0.01,0.12,-0.01,-0.01,0
0.09,0.03,-0.01,0.12,-0.01,-0.01,0
0.09,0.04,-0.01,0.13,-0.01,-0.01,0
0.09,0.04,0,0.13,-0.01,-0.01,0
0.091,0.04,0,0.13,-0.01,-0.01,0
0.091,0.04,0,0.13,0,-0.01,0
0.096,0.04,0,0.13,0,-0.01,0
0.098,0.04,0,0.13,0,0,0
0.099,0.01,-0.01,0.21,0,0,0
0.099,0.01,-0.01,0.21,0,-0.01,0
0.1,0.01,-0.01,0.21,0,0,0
0.102,0.01,-0.01,0.21,0,0,0
0.104,0.01,-0.01,0.21,0,0,0
0.106,0.01,-0.01,0.21,0.01,0,0
0.107,0,0,0.25,0.01,0,0
0.108,0,0,0.25,0,0,0
0.11,0,0,0.25,0,0.01,0
0.119,0,0,0.25,0.01,0.01,0
0.119,0,0,0.25,0,0.01,0
0.128,0,0,0.25,0.01,0.01,0
0.129,0,0,0.25,0.01,0.01,0
0.129,0,0,0.25,0.01,0.01,0
0.129,0,0,0.25,0.01,0.01,0
0.13,0,0,0.25,0.01,0.01,0
0.13,0,0,0.25,0.01,0.01,0
0.13,0,0,0.25,0.01,0.01,0
0.13,-0.02,0,0.21,0.01,0.01,0
0.13,-0.01,0,0.21,0.01,0.01,0
0.131,-0.01,0,0.21,0.01,0.01,0
0.131,-0.01,0,0.21,0.01,0.01,0
0.132,-0.01,0,0.21,0,0.01,0
0.134,-0.01,0,0.21,0,0.01,0
0.137,-0.01,0,0.21,0.01,0.01,0
0.138,-0.04,0,0.23,0.01,0.01,0
0.138,-0.04,0,0.23,0.01,0.01,0
0.139,-0.04,0,0.23,0,0,0
