time,ax,ay,az,wx,wy,wz,participant,label
0.0,0.0095768067985773,0.0047884033992886,9.84256362915039,-0.0006108652451075,-0.0018325957935303,-0.0097738439217209,1,0
3.0,0.0095768067985773,0.0047884033992886,9.84256362915039,-0.0006108652451075,-0.0018325957935303,-0.0097738439217209,1,0
20.0,0.0095768067985773,0.0047884033992886,9.84256362915039,-0.0006108652451075,-0.0018325957935303,-0.0097738439217209,1,0
29.0,0.0095768067985773,0.0047884033992886,9.84256362915039,-0.0006108652451075,-0.0018325957935303,-0.0097738439217209,1,0
31.0,0.0095768067985773,0.0047884033992886,9.84256362915039,-0.0006108652451075,-0.0018325957935303,-0.0097738439217209,1,0
34.0,0.0095768067985773,0.0047884033992886,9.84256362915039,-0.0006108652451075,-0.0018325957935303,-0.0097738439217209,1,0
36.0,0.0095768067985773,0.0047884033992886,9.84256362915039,-0.0006108652451075,-0.0018325957935303,-0.0097738439217209,1,0
39.0,0.0095768067985773,0.0047884033992886,9.84256362915039,-0.0006108652451075,-0.0018325957935303,-0.0097738439217209,1,0
41.0,0.0095768067985773,0.0047884033992886,9.84256362915039,-0.0006108652451075,-0.0018325957935303,-0.0097738439217209,1,0
43.0,0.0095768067985773,0.0047884033992886,9.84256362915039,-0.0006108652451075,-0.0018325957935303,-0.0097738439217209,1,0
46.0,0.0095768067985773,0.0047884033992886,9.84256362915039,-0.0006108652451075,-0.0018325957935303,-0.0097738439217209,1,0
48.0,0.0095768067985773,0.0047884033992886,9.84256362915039,-0.0006108652451075,-0.0018325957935303,-0.0097738439217209,1,0
51.0,0.0095768067985773,0.0047884033992886,9.84256362915039,-0.0006108652451075,-0.0018325957935303,-0.0097738439217209,1,0
53.0,0.0095768067985773,0.0047884033992886,9.84256362915039,-0.0006108652451075,-0.0018325957935303,-0.0097738439217209,1,0
55.0,0.0095768067985773,0.0047884033992886,9.84256362915039,-0.0006108652451075,-0.0018325957935303,-0.0097738439217209,1,0
58.0,0.0095768067985773,0.0047884033992886,9.84256362915039,-0.0006108652451075,-0.0018325957935303,-0.0097738439217209,1,0
60.0,0.0095768067985773,0.0047884033992886,9.84256362915039,-0.0006108652451075,-0.0018325957935303,-0.0097738439217209,1,0
