time,ax,ay,az,wx,wy,wz,participant,label,type
0 days 00:00:00.221000,-0.01,0.0,0.22,0.0,0.01,0.0,Ali,1,0
0 days 00:00:00.222000,-0.01,0.0,0.22,0.0,0.0,0.0,Ali,1,0
0 days 00:00:00.223000,-0.01,0.0,0.22,0.0,0.01,0.0,Ali,1,0
0 days 00:00:00.226000,-0.01,0.0,0.22,0.0,0.01,0.0,Ali,1,0
0 days 00:00:00.227000,0.01,0.01,0.21,0.0,0.01,0.0,Ali,1,0
0 days 00:00:00.228000,0.01,0.01,0.21,0.01,0.01,0.0,Ali,1,0
0 days 00:00:00.230000,0.01,0.01,0.21,0.0,0.0,0.0,Ali,1,0
0 days 00:00:00.232000,0.01,0.01,0.21,0.01,0.0,0.0,Ali,1,0
0 days 00:00:00.234000,0.01,0.01,0.21,0.0,0.0,0.0,Ali,1,0
0 days 00:00:00.250000,0.01,0.01,0.21,0.0,0.0,0.0,Ali,1,0
0 days 00:00:00.251000,0.01,0.01,0.21,0.0,0.0,0.0,Ali,1,0
0 days 00:00:00.252000,0.01,0.01,0.21,0.0,0.0,0.0,Ali,1,0
0 days 00:00:00.253000,-0.03,-0.01,0.19,0.0,-0.01,0.0,Ali,1,0
0 days 00:00:00.254000,-0.03,-0.01,0.19,0.0,0.0,0.0,Ali,1,0
0 days 00:00:00.260000,-0.03,-0.01,0.19,0.0,0.0,0.0,Ali,1,0
0 days 00:00:00.262000,-0.02,-0.03,0.22,0.0,0.0,0.0,Ali,1,0
0 days 00:00:00.263000,-0.02,-0.03,0.22,0.0,-0.01,0.0,Ali,1,0
0 days 00:00:00.266000,-0.02,-0.03,0.22,0.0,-0.01,0.0,Ali,1,0
0 days 00:00:00.267000,-0.01,-0.02,0.21,0.0,-0.01,0.0,Ali,1,0
0 days 00:00:00.268000,-0.01,-0.02,0.21,0.0,0.0,0.0,Ali,1,0
0 days 00:00:00.269000,-0.01,-0.02,0.21,0.0,-0.01,0.0,Ali,1,0
0 days 00:00:00.271000,-0.01,-0.02,0.21,0.0,0.0,0.0,Ali,1,0
0 days 00:00:00.274000,-0.01,-0.02,0.21,0.0,0.0,0.0,Ali,1,0
0 days 00:00:00.290000,-0.01,-0.02,0.21,0.0,-0.01,0.0,Ali,1,0
0 days 00:00:00.291000,-0.01,-0.02,0.21,0.0,0.0,0.0,Ali,1,0
0 days 00:00:00.292000,0.0,-0.03,0.22,0.0,0.0,0.0,Ali,1,0
0 days 00:00:00.295000,0.0,-0.03,0.22,0.0,0.0,0.0,Ali,1,0
0 days 00:00:00.297000,0.0,-0.03,0.22,0.0,0.0,0.0,Ali,1,0
0 days 00:00:00.298000,0.0,-0.03,0.22,0.0,0.0,0.0,Ali,1,0
0 days 00:00:00.300000,0.02,0.0,0.23,0.0,0.01,0.0,Ali,1,0
