time,ax,ay,az,wx,wy,wz
0.001,-0.02,0.02,0.17,-0.03,-0.06,0
0.001,-0.02,0.02,0.17,-0.03,-0.05,0
0.002,-0.02,0.02,0.17,-0.02,-0.05,0
0.016,-0.02,0.02,0.17,-0.02,-0.04,0
0.017,-0.02,0.02,0.17,-0.01,-0.01,0
0.017,-0.02,0.02,0.17,-0.01,-0.01,0
0.017,-0.02,0.02,0.17,-0.01,-0.01,0
0.017,-0.02,0.02,0.17,-0.01,-0.01,0
0.017,-0.02,0.02,0.17,0,-0.01,0
0.017,-0.02,0.02,0.17,0,-0.01,0
0.017,-0.01,0.02,0.22,0,-0.01,0
0.017,-0.01,0.02,0.22,0,-0.01,0
0.018,-0.01,0.02,0.22,0,-0.01,0
0.018,-0.01,0.02,0.22,0,0,0
0.018,-0.01,0.02,0.22,0,0,0
0.02,-0.01,0.02,0.22,0.01,0.01,0
0.023,-0.01,0.02,0.22,0.01,0.01,0
0.024,0,0.02,0.25,0.01,0.01,0
0.024,0,0.02,0.25,0.01,0.02,0
0.027,0,0.02,0.25,0.01,0.02,0
0.028,0,0.02,0.25,0.01,0.03,0
0.03,0,0.02,0.25,0.01,0.03,0
0.033,0,0.02,0.25,0.01,0.03,0
0.033,0,0.02,0.25,0.01,0.03,0
0.034,0,0.02,0.25,0.01,0.03,0
0.036,0,0.02,0.25,0.02,0.03,0
0.038,0,0.02,0.25,0.02,0.03,0
0.04,0,0.02,0.25,0.01,0.03,0
0.055,0,0.02,0.25,0.02,0.03,0
0.055,0,0.02,0.25,0.01,0.02,0
0.055,0,0.02,0.25,0.01,0.02,0
0.055,0,0.02,0.25,0.01,0.02,0
0.056,0,0.02,0.25,0.01,0.02,0
0.056,0,0.02,0.25,0.01,0.02,0
0.056,0,0.02,0.25,0,0.01,0
0.056,0,0.01,0.21,0,0.01,0
0.056,0,0.01,0.21,0,0.01,0
0.056,0,0.01,0.21,0,0.01,0
0.058,0,0.01,0.21,0,0.01,0
0.067,0,0.01,0.21,0,0,0
0.067,0,0.01,0.21,0,0,0
0.068,0,0.01,0.21,0,0,0
0.068,0,0.01,0.21,0,0,0
0.068,0,0.01,0.21,0,-0.01,0
0.069,0,0.01,0.21,-0.01,-0.01,0
0.07,0,0.01,0.21,-0.01,-0.02,0
0.073,0,0.01,0.21,-0.01,-0.02,0
0.073,0,0,0.21,-0.01,-0.02,0
0.074,0,0,0.21,-0.01,-0.02,0
0.077,0,0,0.21,-0.01,-0.02,0
0.078,0,0,0.21,-0.01,-0.02,0
0.081,0,0,0.21,-0.01,-0.02,0
0.095,0,0,0.21,-0.01,-0.02,0
0.096,0,0,0.21,-0.01,-0.01,0
0.096,0,0,0.21,-0.01,-0.01,0
0.096,0,0,0.21,-0.01,-0.01,0
0.096,0,0,0.21,-0.01,-0.01,0
0.096,0,0,0.21,-0.01,-0.01,0
0.096,0,0,0.21,-0.01,-0.01,0
0.097,0,0.01,0.22,-0.01,-0.01,0
0.097,0,0.01,0.22,-0.01,-0.01,0
0.097,0,0.01,0.22,-0.01,-0.01,0
0.098,0,0.01,0.22,0,-0.01,0
0.1,0,0.01,0.22,0,0,0
0.103,0,0.01,0.22,0,0,0
0.104,0,0.01,0.23,0,0,0
0.104,0,0.01,0.23,0,0,0
0.106,0,0.01,0.23,0,0,0
0.108,0,0.01,0.23,0,0.01,0
0.11,0,0.01,0.23,0,0.01,0
0.113,0,0.01,0.23,0,0.01,0
0.114,0,0.01,0.23,0,0.01,0
0.114,0,0.01,0.23,0,0.01,0
0.116,0,0.01,0.23,0.01,0.01,0
0.118,0,0.01,0.23,0.01,0.01,0
0.12,0,0.01,0.23,0,0.01,0
0.136,0,0.01,0.23,0.01,0.01,0
0.136,0,0.01,0.23,0.01,0.01,0
0.136,0,0.01,0.23,0,0.01,0
0.136,0,0.01,0.23,0,0.01,0
0.137,0,0.01,0.23,0,0.01,0
0.137,0,0.01,0.23,0,0.01,0
0.137,0,0.01,0.23,0,0.01,0
0.137,-0.01,0.01,0.23,0,0.01,0
0.137,-0.01,0.01,0.23,0,0.01,0
0.138,-0.01,0.01,0.23,0.01,0.01,0
