time,ax,ay,az,wx,wy,wz
0.001,-0.03,-0.01,0.05,-0.06,-0.13,0
0.002,-0.03,-0.01,0.05,-0.06,-0.12,0
0.002,-0.03,-0.01,0.05,-0.06,-0.12,0
0.002,-0.03,-0.01,0.05,-0.06,-0.12,0
0.002,-0.03,-0.01,0.05,-0.06,-0.11,0
0.002,-0.03,-0.01,0.05,-0.06,-0.11,0
0.002,-0.03,-0.01,0.05,-0.06,-0.11,0
0.003,0.06,0.03,0.34,-0.06,-0.11,0
0.003,0.04,0.04,0.34,-0.06,-0.11,0
0.003,0.04,0.04,0.34,-0.05,-0.1,0
0.003,0.04,0.04,0.34,-0.05,-0.09,0
0.003,0.04,0.04,0.34,-0.04,-0.08,0
0.005,0.04,0.04,0.34,-0.03,-0.06,0
0.005,0.09,0,0.4,-0.03,-0.06,0
0.005,0.09,0,0.4,-0.03,-0.05,0
0.007,0.09,0,0.4,-0.02,-0.03,0
0.012,0.09,0,0.4,-0.01,-0.02,0
0.013,0.09,0,0.4,0,0,0
0.015,0.09,0,0.4,0,0.01,0
0.015,0.08,-0.03,0.37,0,0.01,0
0.016,0.08,-0.03,0.37,0.01,0.02,0
0.017,0.08,-0.03,0.37,0.02,0.03,0
0.019,0.08,-0.03,0.37,0.02,0.04,0
0.021,0.08,-0.03,0.37,0.03,0.05,0
0.037,0.08,-0.03,0.37,0.03,0.06,0
0.038,0.08,-0.03,0.37,0.04,0.07,0
0.038,0.08,-0.03,0.37,0.04,0.07,0
0.038,0.08,-0.03,0.37,0.04,0.08,0
0.038,0.08,-0.03,0.37,0.04,0.08,0
0.038,0.08,-0.03,0.37,0.03,0.07,0
0.038,0.08,-0.03,0.37,0.03,0.07,0
0.039,0.04,0.04,0.24,0.03,0.07,0
0.039,0.04,0.04,0.24,0.03,0.07,0
0.039,0.05,0.03,0.24,0.03,0.07,0
0.039,0.05,0.03,0.24,0.03,0.07,0
0.039,0.05,0.03,0.24,0.03,0.06,0
0.041,0.05,0.03,0.24,0.03,0.06,0
0.046,0.05,0.03,0.24,0.02,0.06,0
0.046,0.03,0.08,0.17,0.02,0.06,0
0.046,0.03,0.08,0.17,0.02,0.05,0
0.048,0.03,0.08,0.17,0.01,0.04,0
0.049,0.03,0.08,0.17,0.02,0.03,0
0.052,0.03,0.08,0.17,0.01,0.03,0
0.054,0.03,0.08,0.17,0.01,0.02,0
0.055,-0.01,0.07,0.1,0.01,0.02,0
0.055,-0.01,0.07,0.1,0,0.01,0
0.058,-0.01,0.07,0.1,0,0,0
0.06,-0.01,0.07,0.1,0,0,0
0.061,-0.01,0.07,0.1,-0.01,-0.02,0
0.077,-0.01,0.07,0.1,-0.01,-0.02,0
0.077,-0.01,0.07,0.1,-0.02,-0.05,0
0.077,-0.01,0.07,0.1,-0.02,-0.05,0
0.077,-0.01,0.07,0.1,-0.02,-0.05,0
0.078,-0.01,0.07,0.1,-0.02,-0.05,0
0.078,-0.01,0.07,0.1,-0.02,-0.05,0
0.078,-0.01,0.07,0.1,-0.02,-0.05,0
0.078,0.02,0,0.2,-0.02,-0.05,0
0.078,0.02,0,0.2,-0.02,-0.05,0
0.078,0.01,0,0.2,-0.02,-0.05,0
0.079,0.01,0,0.2,-0.02,-0.04,0
0.08,0.01,0,0.2,-0.03,-0.05,0
0.081,0.01,0,0.2,-0.02,-0.05,0
0.085,0.01,0,0.2,-0.02,-0.04,0
0.085,0.05,0,0.26,-0.02,-0.04,0
0.086,0.05,0,0.26,-0.02,-0.04,0
0.087,0.05,0,0.26,-0.02,-0.04,0
0.09,0.05,0,0.26,-0.02,-0.03,0
0.092,0.05,0,0.26,-0.01,-0.03,0
0.096,0.05,0,0.26,-0.01,-0.02,0
0.096,0.06,0.02,0.31,-0.01,-0.02,0
0.097,0.06,0.02,0.31,-0.01,-0.02,0
0.098,0.06,0.02,0.31,0,-0.01,0
0.101,0.06,0.02,0.31,0,-0.01,0
0.102,0.06,0.02,0.31,0,0,0
0.117,0.06,0.02,0.31,0,0,0
0.118,0.06,0.02,0.31,0.01,0.02,0
0.118,0.06,0.02,0.31,0.01,0.02,0
0.118,0.06,0.02,0.31,0.01,0.02,0
0.118,0.06,0.02,0.31,0.01,0.02,0
0.118,0.06,0.02,0.31,0.01,0.02,0
0.119,0.06,0.02,0.31,0.01,0.02,0
0.119,0.05,0.02,0.28,0.01,0.02,0
0.119,0.05,0.02,0.28,0.01,0.02,0
0.119,0.05,0.02,0.28,0.01,0.02,0
0.12,0.05,0.02,0.28,0.01,0.03,0
0.122,0.05,0.02,0.28,0.01,0.02,0
0.125,0.05,0.02,0.28,0.01,0.02,0
0.125,0.07,0.04,0.26,0.01,0.02,0
0.126,0.07,0.04,0.26,0.01,0.02,0
0.128,0.07,0.04,0.26,0.01,0.02,0
0.13,0.07,0.04,0.26,0.01,0.02,0
0.132,0.07,0.04,0.26,0.01,0.02,0
0.135,0.07,0.04,0.26,0.01,0.02,0
0.135,0.06,0.06,0.2,0.01,0.02,0
0.136,0.06,0.06,0.2,0.01,0.02,0
0.138,0.06,0.06,0.2,0,0.01,0
0.142,0.06,0.06,0.2,0.01,0.01,0
0.142,0.06,0.06,0.2,0,0.01,0
0.157,0.06,0.06,0.2,0,0.01,0
0.157,0.06,0.06,0.2,0,-0.01,0
0.158,0.06,0.06,0.2,-0.01,-0.01,0
0.158,0.06,0.06,0.2,-0.01,-0.01,0
0.158,0.06,0.06,0.2,-0.01,-0.01,0
0.158,0.06,0.06,0.2,-0.01,-0.01,0
0.158,0.06,0.06,0.2,-0.01,-0.01,0
0.159,0.03,0.01,0.2,-0.01,-0.01,0
0.159,0.03,0.01,0.2,-0.01,-0.01,0
0.159,0.03,0.01,0.2,-0.01,-0.01,0
0.159,0.03,0.01,0.2,-0.01,-0.01,0
0.16,0.03,0.01,0.2,-0.01,-0.01,0
0.162,0.03,0.01,0.2,-0.01,-0.01,0
0.166,0.03,0.01,0.2,-0.01,-0.01,0
0.166,0.02,-0.03,0.21,-0.01,-0.01,0
0.166,0.02,-0.03,0.21,-0.01,-0.01,0
0.168,0.02,-0.03,0.21,-0.01,-0.01,0
0.17,0.02,-0.03,0.21,-0.01,-0.01,0
0.172,0.02,-0.03,0.21,-0.01,-0.01,0
0.175,0.02,-0.03,0.21,0,-0.01,0
0.175,0,-0.05,0.25,0,-0.01,0
0.176,0,-0.05,0.25,-0.01,-0.01,0
0.18,0,-0.05,0.25,0,-0.01,0
0.181,0,-0.05,0.25,-0.01,-0.01,0
0.182,0,-0.05,0.25,0,-0.01,0
0.197,0,-0.05,0.25,0,-0.01,0
0.197,0,-0.05,0.25,0,0,0
0.197,0,-0.05,0.25,0,0,0
0.197,0,-0.05,0.25,0,0,0
0.197,0,-0.05,0.25,0,0,0
0.197,0,-0.05,0.25,0,0,0
0.197,0,-0.05,0.25,0,0.01,0
