time,ax,ay,az,wx,wy,wz
0.001,0,-0.01,0.16,-0.04,-0.08,0
0.001,0,-0.01,0.16,-0.04,-0.07,0
0.015,0,-0.01,0.16,-0.03,-0.06,0
0.016,0,-0.01,0.16,-0.01,-0.02,0
0.016,0,-0.01,0.16,-0.01,-0.02,0
0.016,0,-0.01,0.16,-0.01,-0.02,0
0.016,0,-0.01,0.16,-0.01,-0.01,0
0.016,0,-0.01,0.16,0,0,0
0.017,0,-0.01,0.16,0,0,0
0.017,0,-0.01,0.16,0,0.01,0
0.017,0.01,-0.02,0.25,0,0.01,0
0.017,0.01,-0.01,0.25,0,0.01,0
0.017,0.01,-0.01,0.25,0,0.01,0
0.018,0.01,-0.01,0.25,0.01,0.01,0
0.019,0.01,-0.01,0.25,0.01,0.02,0
0.022,0.01,-0.01,0.25,0.01,0.03,0
0.022,0.01,-0.01,0.26,0.01,0.03,0
0.022,0.01,-0.01,0.26,0.01,0.04,0
0.025,0.01,-0.01,0.26,0.02,0.04,0
0.027,0.01,-0.01,0.26,0.02,0.04,0
0.029,0.01,-0.01,0.26,0.02,0.05,0
0.032,0.01,-0.01,0.26,0.02,0.05,0
0.032,0.02,-0.02,0.26,0.02,0.05,0
0.033,0.02,-0.02,0.26,0.03,0.05,0
0.035,0.02,-0.02,0.26,0.03,0.05,0
0.037,0.02,-0.02,0.26,0.02,0.05,0
0.039,0.02,-0.02,0.26,0.02,0.05,0
0.054,0.02,-0.02,0.26,0.02,0.05,0
0.054,0.02,-0.02,0.26,0.01,0.03,0
0.054,0.02,-0.02,0.26,0.01,0.02,0
0.055,0.02,-0.02,0.26,0.01,0.02,0
0.055,0.02,-0.02,0.26,0.01,0.02,0
0.055,0.02,-0.02,0.26,0.01,0.02,0
0.055,0.02,-0.02,0.26,0.01,0.02,0
0.055,0.02,-0.01,0.22,0.01,0.02,0
0.055,0.02,-0.01,0.22,0.01,0.02,0
0.056,0.03,-0.01,0.22,0.01,0.02,0
0.056,0.03,-0.01,0.22,0.01,0.02,0
0.057,0.03,-0.01,0.22,0.01,0.01,0
0.059,0.03,-0.01,0.22,0.01,0.01,0
0.065,0.03,-0.01,0.22,0,0,0
0.066,0.02,0,0.19,0,0,0
0.066,0.02,0,0.19,0,-0.01,0
0.066,0.02,0,0.19,0,-0.01,0
0.067,0.02,0,0.19,0,-0.01,0
0.069,0.02,0,0.19,-0.01,-0.02,0
0.072,0.02,0,0.19,-0.01,-0.02,0
0.072,0.02,0,0.19,-0.01,-0.02,0
0.072,0.02,0,0.19,-0.01,-0.02,0
0.074,0.02,0,0.19,-0.01,-0.02,0
0.077,0.02,0,0.19,-0.01,-0.03,0
0.079,0.02,0,0.19,-0.02,-0.03,0
0.093,0.02,0,0.19,-0.01,-0.03,0
0.093,0.02,0,0.19,-0.01,-0.03,0
0.094,0.02,0,0.19,-0.01,-0.03,0
0.094,0.02,0,0.19,-0.01,-0.03,0
0.094,0.02,0,0.19,-0.01,-0.03,0
0.094,0.02,0,0.19,-0.01,-0.02,0
0.094,0.02,0,0.19,-0.01,-0.02,0
0.095,0.01,-0.01,0.21,-0.01,-0.02,0
0.095,0.01,-0.01,0.21,-0.01,-0.02,0
0.095,0.01,-0.01,0.21,-0.01,-0.02,0
0.097,0.01,-0.01,0.21,-0.01,-0.02,0
0.099,0.01,-0.01,0.21,-0.01,-0.01,0
0.102,0.01,-0.01,0.21,-0.01,-0.01,0
0.102,0.01,-0.01,0.22,-0.01,-0.01,0
0.103,0.01,-0.01,0.22,0,-0.01,0
0.105,0.01,-0.01,0.22,0,0,0
0.107,0.01,-0.01,0.22,0,0,0
0.109,0.01,-0.01,0.22,0,0,0
0.111,0.01,-0.01,0.22,0,0.01,0
0.112,0,-0.01,0.22,0,0.01,0
0.113,0,-0.01,0.22,0.01,0.01,0
0.115,0,-0.01,0.22,0.01,0.01,0
0.117,0,-0.01,0.22,0,0.01,0
0.119,0,-0.01,0.22,0.01,0.02,0
0.134,0,-0.01,0.22,0.01,0.02,0
0.135,0,-0.01,0.22,0.01,0.02,0
0.135,0,-0.01,0.22,0.01,0.02,0
0.135,0,-0.01,0.22,0.01,0.02,0
0.135,0,-0.01,0.22,0.01,0.01,0
0.135,0,-0.01,0.22,0.01,0.01,0
0.135,0,-0.01,0.22,0.01,0.01,0
0.136,0.01,-0.01,0.22,0.01,0.01,0
0.136,0.01,-0.01,0.22,0.01,0.01,0
0.136,0.01,-0.01,0.22,0.01,0.01,0
0.136,0.01,-0.01,0.22,0.01,0.02,0
0.137,0.01,-0.01,0.22,0.01,0.01,0
0.139,0.01,-0.01,0.22,0,0.01,0
0.142,0.01,-0.01,0.22,0,0.01,0
0.142,0.01,-0.02,0.21,0,0.01,0
0.143,0.01,-0.02,0.21,0,0.01,0
0.145,0.01,-0.02,0.21,0,0.01,0
0.148,0.01,-0.02,0.21,0,0,0
0.149,0.01,-0.02,0.21,0,0,0
0.152,0.01,-0.02,0.21,0,0,0
0.152,0.01,-0.01,0.21,0,0,0
0.153,0.01,-0.01,0.21,0,0,0
0.155,0.01,-0.01,0.21,0,-0.01,0
0.157,0.01,-0.01,0.21,0,-0.01,0
0.159,0.01,-0.01,0.21,0,0,0
0.174,0.01,-0.01,0.21,0,-0.01,0
0.174,0.01,-0.01,0.21,0,-0.01,0
0.175,0.01,-0.01,0.21,0,-0.01,0
0.175,0.01,-0.01,0.21,0,-0.01,0
0.175,0.01,-0.01,0.21,-0.01,-0.01,0
0.175,0.01,-0.01,0.21,-0.01,-0.01,0
0.176,0.01,-0.01,0.21,-0.01,-0.01,0
0.176,0.02,-0.01,0.22,-0.01,-0.01,0
0.176,0.02,-0.01,0.22,-0.01,-0.01,0
0.176,0.02,-0.01,0.22,-0.01,-0.01,0
0.176,0.02,-0.01,0.22,0,-0.01,0
0.177,0.02,-0.01,0.22,-0.01,-0.01,0
0.179,0.02,-0.01,0.22,0,-0.01,0
0.183,0.02,-0.01,0.22,-0.01,-0.01,0
0.183,0.02,-0.01,0.22,0,-0.01,0
0.183,0.02,-0.02,0.23,0,-0.01,0
0.185,0.02,-0.02,0.23,0,-0.01,0
0.187,0.02,-0.02,0.23,0,0,0
0.189,0.02,-0.02,0.23,0,0,0
0.191,0.02,-0.02,0.23,0,0,0
0.192,0.01,-0.02,0.24,0,0,0
0.193,0.01,-0.02,0.24,0,0,0
0.195,0.01,-0.02,0.24,0,0,0
0.197,0.01,-0.02,0.24,0,0,0
0.199,0.01,-0.02,0.24,0,0,0
0.213,0.01,-0.02,0.24,0,0,0
0.213,0.01,-0.02,0.24,0,0.01,0
0.214,0.01,-0.02,0.24,0,0.01,0
0.214,0.01,-0.02,0.24,0,0.01,0
0.214,0.01,-0.02,0.24,0,0.01,0
0.214,0.01,-0.02,0.24,0,0.01,0
0.214,0.01,-0.02,0.24,0.01,0.01,0
0.215,0,-0.02,0.23,0.01,0.01,0
0.215,0.01,-0.02,0.23,0.01,0.01,0
0.215,0.01,-0.02,0.23,0.01,0.01,0
0.217,0.01,-0.02,0.23,0.01,0.01,0
0.219,0.01,-0.02,0.23,0,0.01,0
0.222,0.01,-0.02,0.23,0,0.01,0
0.222,0.01,-0.02,0.23,0,0.01,0
0.223,0.01,-0.02,0.23,0,0.01,0
0.225,0.01,-0.02,0.23,0.01,0.01,0
0.227,0.01,-0.02,0.23,0,0.01,0
0.229,0.01,-0.02,0.23,0,0.01,0
0.231,0.01,-0.02,0.23,0,0.01,0
0.232,0.01,-0.02,0.23,0,0.01,0
0.233,0.01,-0.02,0.23,0,0.01,0
0.235,0.01,-0.02,0.23,0,0.01,0
0.236,0.01,-0.02,0.23,0,0,0
0.239,0.01,-0.02,0.23,0,0,0
0.254,0.01,-0.02,0.23,0,0,0
0.254,0.01,-0.02,0.23,0,0,0
0.257,0.01,-0.02,0.23,0,0,0
0.258,0.01,-0.02,0.23,0,0,0
0.258,0.01,-0.02,0.23,0,0,0
0.258,0.01,-0.02,0.23,0,-0.01,0
0.258,0.01,-0.02,0.23,0,-0.01,0
0.258,0.02,-0.01,0.22,0,-0.01,0
0.259,0.02,-0.01,0.22,0,-0.01,0
0.259,0.02,-0.01,0.22,0,-0.01,0
0.259,0.02,-0.01,0.22,-0.01,-0.01,0
0.26,0.02,-0.01,0.22,0,-0.01,0
0.265,0.02,-0.01,0.22,0,-0.01,0
0.265,0.02,-0.01,0.21,0,-0.01,0
0.266,0.02,-0.01,0.21,0,-0.01,0
0.266,0.02,-0.01,0.21,0,-0.01,0
0.268,0.02,-0.01,0.21,-0.01,-0.01,0
0.269,0.02,-0.01,0.21,0,-0.01,0
0.272,0.02,-0.01,0.21,-0.01,-0.01,0
0.273,0.03,-0.02,0.2,-0.01,-0.01,0
0.273,0.03,-0.02,0.2,-0.01,-0.01,0
0.275,0.03,-0.02,0.2,0,-0.01,0
0.277,0.03,-0.02,0.2,-0.01,-0.01,0
0.279,0.03,-0.02,0.2,0,-0.01,0
0.294,0.03,-0.02,0.2,-0.01,-0.01,0
0.294,0.03,-0.02,0.2,0,0,0
0.295,0.03,-0.02,0.2,0,0,0
0.295,0.03,-0.02,0.2,0,0,0
0.295,0.03,-0.02,0.2,0,0,0
0.295,0.03,-0.02,0.2,0,0,0
0.295,0.03,-0.02,0.2,0,0,0
0.296,0.02,-0.02,0.22,0,0,0
0.296,0.02,-0.02,0.22,0,0,0
0.296,0.02,-0.02,0.22,0,0,0
0.297,0.02,-0.02,0.22,0.01,0,0
0.299,0.02,-0.02,0.22,0,0,0
0.303,0.02,-0.02,0.22,0,0.01,0
0.303,0.02,-0.02,0.22,0,0.01,0
0.303,0.02,-0.02,0.22,0,0.01,0
0.305,0.02,-0.02,0.22,0.01,0.01,0
0.307,0.02,-0.02,0.22,0,0.01,0
0.309,0.02,-0.02,0.22,0,0.01,0
0.312,0.02,-0.02,0.22,0.01,0.01,0
0.312,0.02,-0.01,0.22,0.01,0.01,0
0.313,0.02,-0.01,0.22,0,0.01,0
0.315,0.02,-0.01,0.22,0.01,0.01,0
0.317,0.02,-0.01,0.22,0,0.01,0
0.319,0.02,-0.01,0.22,0,0.01,0
0.334,0.02,-0.01,0.22,0.01,0.01,0
0.334,0.02,-0.01,0.22,0,0.01,0
0.335,0.02,-0.01,0.22,0,0.01,0
0.335,0.02,-0.01,0.22,0,0.01,0
0.335,0.02,-0.01,0.22,0,0,0
0.335,0.02,-0.01,0.22,0,0,0
0.335,0.02,-0.01,0.22,0,0,0
0.336,0,-0.01,0.21,0,0,0
0.336,0,-0.01,0.21,0,0,0
0.336,0,-0.01,0.21,0,0,0
0.337,0,-0.01,0.21,0,0,0
0.339,0,-0.01,0.21,0,0,0
0.342,0,-0.01,0.21,0,0,0
0.343,0,-0.01,0.21,0,0,0
0.343,0,-0.01,0.21,0,0,0
0.345,0,-0.01,0.21,0,0,0
0.349,0,-0.01,0.21,-0.01,0,0
0.349,0,-0.01,0.21,0,0,0
0.352,0,-0.01,0.21,0,-0.01,0
0.352,0,-0.01,0.21,0,-0.01,0
0.353,0,-0.01,0.21,0,0,0
0.355,0,-0.01,0.21,0,-0.01,0
0.357,0,-0.01,0.21,0,-0.01,0
0.359,0,-0.01,0.21,-0.01,-0.01,0
0.374,0,-0.01,0.21,-0.01,-0.01,0
0.374,0,-0.01,0.21,0,-0.01,0
0.375,0,-0.01,0.21,0,-0.01,0
0.375,0,-0.01,0.21,0,-0.01,0
0.375,0,-0.01,0.21,0,-0.01,0
0.375,0,-0.01,0.21,-0.01,0,0
0.375,0,-0.01,0.21,-0.01,0,0
0.376,0.02,-0.03,0.21,-0.01,0,0
0.376,0.02,-0.03,0.21,-0.01,0,0
0.376,0.02,-0.03,0.21,0,-0.01,0
0.377,0.02,-0.03,0.21,0,-0.01,0
0.379,0.02,-0.03,0.21,0,-0.01,0
0.382,0.02,-0.03,0.21,0,0,0
0.382,0.02,-0.03,0.21,0,0,0
0.383,0.02,-0.03,0.21,0,0,0
0.385,0.02,-0.03,0.21,0,0,0
0.387,0.02,-0.03,0.21,0,0,0
0.389,0.02,-0.03,0.21,0,0,0
0.392,0.02,-0.03,0.21,0,0,0
0.392,0.02,-0.03,0.22,0,0,0
0.393,0.02,-0.03,0.22,0,0,0
0.395,0.02,-0.03,0.22,0,0,0
0.397,0.02,-0.03,0.22,0,0,0
0.399,0.02,-0.03,0.22,0,0.01,0
0.414,0.02,-0.03,0.22,0,0.01,0
0.414,0.02,-0.03,0.22,0,0.01,0
0.415,0.02,-0.03,0.22,0,0.01,0
0.416,0.02,-0.03,0.22,0,0.01,0
0.416,0.02,-0.03,0.22,0,0.01,0
0.417,0.02,-0.03,0.22,0,0.01,0
0.419,0.02,-0.03,0.22,0,0.01,0
0.42,0.02,-0.01,0.22,0,0.01,0
0.42,0.02,-0.01,0.22,0,0.01,0
0.42,0.02,-0.01,0.22,0,0.01,0
0.42,0.02,-0.01,0.22,0.01,0.01,0
0.421,0.02,-0.01,0.22,0,0,0
0.423,0.02,-0.01,0.22,0,0.01,0
0.423,0.02,-0.01,0.22,0,0.01,0
0.423,0.01,-0.02,0.22,0,0.01,0
0.425,0.01,-0.02,0.22,0,0.01,0
0.427,0.01,-0.02,0.22,0,0.01,0
0.429,0.01,-0.02,0.22,0,0,0
0.432,0.01,-0.02,0.22,0,0,0
0.433,0.01,-0.02,0.22,0,0,0
0.433,0.01,-0.02,0.22,0,0,0
0.435,0.01,-0.02,0.22,0,0,0
0.437,0.01,-0.02,0.22,0,0,0
0.439,0.01,-0.02,0.22,0,0,0
0.454,0.01,-0.02,0.22,0,0,0
0.454,0.01,-0.02,0.22,0,0,0
0.454,0.01,-0.02,0.22,0,0,0
0.454,0.01,-0.02,0.22,0,0,0
0.454,0.01,-0.02,0.22,0,0,0
0.455,0.01,-0.02,0.22,0,0,0
0.455,0.01,-0.02,0.22,0,-0.01,0
0.455,0.01,-0.02,0.21,0,-0.01,0
0.455,0.01,-0.02,0.21,0,-0.01,0
