time,ax,ay,az,wx,wy,wz
0.001,0.02,-0.02,0.3,0.02,0.04,0
0.002,0.02,-0.02,0.3,0.03,0.04,0
0.018,0.02,-0.02,0.3,0.02,0.04,0
0.019,0.02,-0.02,0.3,0.02,0.04,0
0.019,0.02,-0.02,0.3,0.02,0.04,0
0.019,0.02,-0.02,0.3,0.02,0.04,0
0.019,0.02,-0.02,0.3,0.02,0.04,0
0.019,0.02,-0.02,0.3,0.02,0.04,0
0.02,0.02,-0.02,0.3,0.02,0.04,0
0.02,0.02,-0.02,0.3,0.02,0.03,0
0.02,-0.02,0.13,0.19,0.02,0.03,0
0.02,-0.01,0.12,0.19,0.02,0.03,0
0.02,-0.01,0.12,0.19,0.01,0.03,0
0.02,-0.01,0.12,0.19,0.01,0.02,0
0.02,-0.01,0.12,0.19,0.01,0.02,0
0.021,0,0.11,0.17,0.01,0.02,0
0.021,0,0.11,0.17,0.01,0.01,0
0.022,0,0.11,0.17,0,0.01,0
0.024,0,0.11,0.17,0,0,0
0.026,0,0.11,0.17,-0.01,-0.01,0
0.029,0,0.11,0.17,-0.01,-0.01,0
0.031,-0.01,0.06,0.15,-0.01,-0.01,0
0.031,-0.01,0.06,0.15,-0.01,-0.02,0
0.032,-0.01,0.06,0.15,-0.01,-0.02,0
0.034,-0.01,0.06,0.15,-0.02,-0.03,0
0.036,-0.01,0.06,0.15,-0.02,-0.03,0
0.053,-0.01,0.06,0.15,-0.02,-0.03,0
0.053,-0.01,0.06,0.15,-0.02,-0.03,0
0.053,-0.01,0.06,0.15,-0.02,-0.03,0
0.053,-0.01,0.06,0.15,-0.02,-0.03,0
0.053,-0.01,0.06,0.15,-0.02,-0.03,0
0.054,-0.01,0.06,0.15,-0.02,-0.03,0
0.054,-0.01,0.06,0.15,-0.02,-0.03,0
0.054,-0.01,0.06,0.15,-0.01,-0.02,0
0.054,0.02,-0.05,0.22,-0.01,-0.02,0
0.054,0.01,-0.05,0.22,-0.01,-0.02,0
0.055,0.01,-0.05,0.22,-0.02,-0.02,0
0.057,0.01,-0.05,0.22,-0.01,-0.02,0
0.069,0.01,-0.05,0.22,-0.01,-0.02,0
0.069,0.01,-0.05,0.22,-0.01,-0.01,0
0.069,0.01,-0.11,0.26,-0.01,-0.01,0
0.07,0.01,-0.11,0.26,-0.01,-0.01,0
0.07,0.01,-0.11,0.26,0,0,0
0.07,0.01,-0.11,0.26,0,0,0
0.07,0.01,-0.11,0.26,0,0,0
0.07,0.01,-0.11,0.26,0,0,0
0.071,0.01,-0.11,0.26,0,0.01,0
0.072,0.01,-0.11,0.26,0,0.01,0
0.074,0.01,-0.11,0.26,0.01,0.01,0
0.076,0.01,-0.11,0.26,0.01,0.01,0
0.093,0.01,-0.11,0.26,0.01,0.02,0
0.093,0.01,-0.11,0.26,0.01,0.02,0
0.094,0.01,-0.11,0.26,0.01,0.02,0
0.094,0.01,-0.11,0.26,0.01,0.02,0
0.094,0.01,-0.11,0.26,0.01,0.02,0
0.094,0.01,-0.11,0.26,0.02,0.02,0
0.094,0.01,-0.11,0.26,0.02,0.02,0
0.095,0.01,-0.11,0.26,0.01,0.02,0
0.095,0.05,0,0.21,0.01,0.02,0
0.095,0.05,0,0.21,0.01,0.02,0
0.095,0.05,0,0.21,0.01,0.01,0
0.096,0.05,0,0.21,0.01,0.01,0
0.1,0.05,0,0.21,0.01,0.01,0
0.1,0.03,0.08,0.22,0.01,0.01,0
0.1,0.03,0.08,0.22,0.01,0.01,0
0.102,0.03,0.08,0.22,0.01,0.01,0
0.104,0.03,0.08,0.22,0.01,0,0
0.106,0.03,0.08,0.22,0,0,0
0.109,0.03,0.08,0.22,0,0,0
0.109,0.05,0.07,0.22,0,0,0
0.111,0.05,0.07,0.22,0,0,0
0.112,0.05,0.07,0.22,0,0,0
0.114,0.05,0.07,0.22,0,0,0
0.116,0.05,0.07,0.22,-0.01,-0.01,0
0.132,0.05,0.07,0.22,-0.01,-0.01,0
0.133,0.05,0.07,0.22,0,-0.01,0
0.133,0.05,0.07,0.22,-0.01,-0.01,0
0.133,0.05,0.07,0.22,-0.01,-0.01,0
0.133,0.05,0.07,0.22,-0.01,-0.01,0
0.133,0.05,0.07,0.22,-0.01,-0.01,0
0.134,0.05,0.07,0.22,-0.01,-0.01,0
